Tweet
"RT @GarimaS38018144: @kimansingh17 @HDFC_Bank @ICICIBank please teach this bank @AxisBankSupport How to solve customer issues..
#axisbank #?"
"RT @GarimaS38018144: @kimansingh17 @HDFC_Bank @ICICIBank please teach this bank @AxisBankSupport How to solve customer issues..
#axisbank #?"
"RT @GarimaS38018144: @kimansingh17 @HDFC_Bank @ICICIBank please teach this bank @AxisBankSupport How to solve customer issues..
#axisbank #?"
"RT @GarimaS38018144: @kimansingh17 @HDFC_Bank @ICICIBank please teach this bank @AxisBankSupport How to solve customer issues..
#axisbank #?"
"RT @prashant280294: #AxisBank 

Seems big move coming up ??
Looks bullish here at 751
Can do 785/795 in June series and 841 by July series?"
"RT @CSCegov_: Launch of Axis Bank BCs through #CSC...

To hear more about the launch, watch it LIVE on the #CSC Facebook Page, on 17th June?"
"RT @CSCegov_: Launch of Axis Bank BCs through #CSC...

To hear more about the launch, watch it LIVE on the #CSC Facebook Page, on 17th June?"
"RT @CSCegov_: Launch of Axis Bank BCs through #CSC...

To hear more about the launch, watch it LIVE on the #CSC Facebook Page, on 17th June?"
"RT @CSCegov_: Launch of Axis Bank BCs through #CSC...

To hear more about the launch, watch it LIVE on the #CSC Facebook Page, on 17th June?"
"Axis Bank Revises SMS Alert Charges On Savings Account, Details Inside https://t.co/8bhb2fPPZz #axisbank via @GoodReturnsIN"
"RT @CSCegov_: Launch of Axis Bank BCs through #CSC...

To hear more about the launch, watch it LIVE on the #CSC Facebook Page, on 17th June?"
Axis Bank is making interesting pattern over weekly chart. It is failed to cross 750. If it closes above 750 by tom? https://t.co/USnbbbgl1j
"RT @CSCegov_: Launch of Axis Bank BCs through #CSC...

To hear more about the launch, watch it LIVE on the #CSC Facebook Page, on 17th June?"
"#AXISBANK  : Above  760/800
#AJANTPHARM : Above 2050
#ANDHRSUGAR : Above 470
#ASHIANA : Above 150/165
#BATAINDIA  :? https://t.co/ugHpFFSNI8"
"RT @CSCegov_: Launch of Axis Bank BCs through #CSC...

To hear more about the launch, watch it LIVE on the #CSC Facebook Page, on 17th June?"
@AxisBankSupport I can't visit bank in such situation. My account has updated address can't you update from there.? https://t.co/ZxiHUXKtyV
"#axisbank buy
Cmp 742"
?????-19 ?? ?????? ??? ???? ?????? ?? ?? ?? ????? ???? ????? ?? ??? ??????? ???? ?? ??? ????? ????? ?? 30 ?????? ??? https://t.co/9ei8dKVq1P
"@AxisBank @AxisBankSupport 
I am very impressed with your twitter help center, your service center is amazing, twic? https://t.co/vp4N6fqmnn"
"@AxisBank @AxisBankSupport 
I am very impressed with your twitter help center, your service center is amazing, twic? https://t.co/vp4N6fqmnn"
"RT @CSCegov_: Launch of Axis Bank BCs through #CSC...

To hear more about the launch, watch it LIVE on the #CSC Facebook Page, on 17th June?"
"#AxisBank @AxisBankSupport @AxisBank 

Why is there a temporary credit when I paid in full. Do remove the temporary? https://t.co/VfwIPqcTdQ"
"#AxisBank @AxisBankSupport @AxisBank 

Why is there a temporary credit when I paid in full. Do remove the temporary? https://t.co/VfwIPqcTdQ"
